Iterator T GF Best_GF
249 9.76274 46195 46195
250 9.76274 46195 46195
251 9.75298 46195 46195
252 9.75298 46195 46195
253 9.75298 46195 46195
254 9.75298 46195 46195
255 9.75298 46195 46195
256 9.75298 46195 46195
257 9.75298 46195 46195
258 9.75298 46195 46195
259 9.75298 46195 46195
260 9.75298 46195 46195
261 9.74322 46195 46195
262 9.74322 46195 46195
263 9.74322 46195 46195
264 9.74322 46195 46195
265 9.74322 46195 46195
266 9.74322 46195 46195
267 9.74322 46195 46195
268 9.74322 46195 46195
269 9.74322 46195 46195
270 9.74322 46195 46195
271 9.73348 46195 46195
272 9.73348 46195 46195
273 9.73348 46195 46195
274 9.73348 46195 46195
275 9.73348 46195 46195
276 9.73348 46195 46195
277 9.73348 46195 46195
278 9.73348 46195 46195
279 9.73348 46195 46195
280 9.73348 46195 46195
281 9.72375 46195 46195
282 9.72375 46195 46195
283 9.72375 46195 46195
284 9.72375 46195 46195
285 9.72375 46195 46195
286 9.72375 46195 46195
287 9.72375 46195 46195
288 9.72375 46195 46195
289 9.72375 46195 46195
290 9.72375 46195 46195
291 9.71402 46195 46195
292 9.71402 46195 46195
293 9.71402 46195 46195
294 9.71402 46195 46195
295 9.71402 46195 46195
296 9.71402 46195 46195
297 9.71402 46195 46195
298 9.71402 46195 46195
299 9.71402 46195 46195
300 9.71402 46195 46195
301 9.70431 46195 46195
302 9.70431 46195 46195
303 9.70431 46195 46195
304 9.70431 46195 46195
305 9.70431 46195 46195
306 9.70431 46195 46195
307 9.70431 46195 46195
308 9.70431 46195 46195
309 9.70431 46195 46195
310 9.70431 46195 46195
311 9.69461 46195 46195
312 9.69461 46195 46195
313 9.69461 46195 46195
314 9.69461 46195 46195
315 9.69461 46195 46195
316 9.69461 46195 46195
317 9.69461 46195 46195
318 9.69461 46195 46195
319 9.69461 46195 46195
320 9.69461 46195 46195
321 9.68491 46195 46195
322 9.68491 46195 46195
323 9.68491 46195 46195
324 9.68491 46195 46195
325 9.68491 46195 46195
326 9.68491 46195 46195
327 9.68491 46195 46195
328 9.68491 46195 46195
329 9.68491 46195 46195
330 9.68491 46195 46195
331 9.67523 46195 46195
332 9.67523 46195 46195
333 9.67523 46195 46195
334 9.67523 46195 46195
335 9.67523 46195 46195
336 9.67523 46195 46195
337 9.67523 46195 46195
338 9.67523 46195 46195
339 9.67523 46195 46195
340 9.67523 46195 46195
341 9.66555 46195 46195
342 9.66555 46195 46195
343 9.66555 46195 46195
344 9.66555 46195 46195
345 9.66555 46195 46195
346 9.66555 46195 46195
347 9.66555 46195 46195
348 9.66555 46195 46195
349 9.66555 46195 46195
350 9.66555 46195 46195
351 9.65589 46195 46195
352 9.65589 46195 46195
353 9.65589 46195 46195
354 9.65589 46195 46195
355 9.65589 46195 46195
356 9.65589 46195 46195
357 9.65589 46195 46195
358 9.65589 46195 46195
359 9.65589 46195 46195
360 9.65589 46195 46195
361 9.64623 46195 46195
362 9.64623 46195 46195
363 9.64623 46195 46195
364 9.64623 46195 46195
365 9.64623 46195 46195
366 9.64623 46195 46195
367 9.64623 44174 44174
368 9.64623 44174 44174
369 9.64623 44174 44174
370 9.64623 44174 44174
371 9.63658 44174 44174
372 9.63658 44174 44174
373 9.63658 44174 44174
374 9.63658 44174 44174
375 9.63658 44174 44174
376 9.63658 44174 44174
377 9.63658 44174 44174
378 9.63658 44174 44174
379 9.63658 44174 44174
380 9.63658 44174 44174
381 9.62695 44174 44174
382 9.62695 44174 44174
383 9.62695 44174 44174
384 9.62695 44174 44174
385 9.62695 44174 44174
